Manufacturer Number	JLCPCB Part #	Component Value	Qty/Board	Qty	Cost Per Unit	Extended Part	DNP	Total Cost
CL31A476MPHNNNE	C96123	4.7uF	9	45	0.0795			3.5775
CL31B104KBCNNNC	C24497	100nF	7	35	0.0138			0.483
CL21C200JBANNNC	C1798	20pF	2	10	0.01			0.1
C2297	C2297	LED	8	40	0.0133			0.532
SS14	C2480	Schottky	3	15	0.0143			0.2145
MICROXNJ	C404969	Micro USB port	1	5	0.0333			0.1665
AO3400A	C20917	N-MOSFET	4	20	0.0787			1.574
PT42-21C/TR8	C264569	Phototransistor	1	5	0.1271	1		3.6355
1206W4F4701T5E	C17936	470Ω	8	40	0.0029			0.116
1206W4F100KT5E	C17928	10kΩ	4	20	0.0043			0.086
0805W8F3901T5E	C17614	390Ω	1	5	0.0017			0.0085
QR1206J3K60P05Z	C176265	3.6kΩ	2	10	0.008	1		3.08
1206W4F1200T5E	C17909	120Ω	1	5	0.003			0.015
0805W8F4703T5E	C17709	470kΩ	1	5	0.0018			0.009
1206W4F1003T5E	C17900	100kΩ	1	5	0.0031			0.0155
1206W4F0000T5E	C17888	0Ω	2	10	0.003			0.03
0805W8F2002T5E	C4328	20kΩ	1	5	0.0018			0.009
0805W8F2201T5E	C17520	2.2kΩ	1	5	0.0017			0.0085
SKHHQYA010	C470257	Push Button	2	10	0.219	1		5.19
FT234XD-R	C132158	USB UART IC	1	5	2.448	1		15.24
CAT24C256WI-GT3	C79987	EEPROM	1	5	0.4718	1		5.359
VL53L1CXV0FY/1	C190004	Position Sensor	1	5	4.9335	1		27.6675
MP2602DQ-LF-Z	C44515	Battery PMIC	1	5	0.5219	1		5.6095
XC6206P332MR	C5446	Voltage Regulator	1	5	0.0964			0.482
A308000003	C409345	Crystal Oscillator	1	5	0.4812	1		5.406
								78.6145